Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Castellated_Power,1,6S LIPO,
"C1, C2, C29, C3, C31, C33, C6, C7, C8, C9",0402,10,0.1uF,
"C10, C34",0402,2,6pF,
"C11, C12, C18, C20, C22, C24, C27",0402,7,100nF,
"C13, C19, C21, C23, C25, C26, C4, C5",0402,8,1uF,
"C14, C15, C16, C17",0402,4,2.2uF,
"C28, C30",0402,2,4.7uF,
C32,0603,1,10uF,
"C35, C36",0402,2,18pF,
D2,ESD122DMYR,1,ESD122DMYR,
"D3, D7",0402,2,150040VS73240,
D4,0402,1,150040RS73240,
D5,Nexperia_DSN1608-2_1.6x0.8mm,1,PTVS5V0Z1USK,
FB1,0603,1,FCM1608KF-601T05,
IC1,SOT65P210X110-5N,1,MIC5365-1.8YC5-TR,
IC2,BGA8C50P2X4_89X189X50,1,TCA9406YZPR,
IC3,BMP390,1,BMP390,
IC4,M24C32FMH6TG,1,M24C02-FMH6TG,
IC5,SOT230P700X180-4N,1,MIC2920A-3.3WS-TR,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det1,
"J30, J31, J32, J33",Breakout_Servo_Pad,4,Conn_01x03_Pin,
J34,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C_1,
J35,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J36,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C_2,
J37,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C_3,
J38,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,UART4,
J39,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,USART3,
J40,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,RADIO,
R1,0402,1,820k,
R10,0402,1,1k,
R11,0402,1,22.1k,
R12,0402,1,47.5k,
"R13, R14, R23",0402,3,82,
"R15, R18, R19, R20, R21, R22, R7",0402,7,10k,
R16,0402,1,4.7k,
R17,0402,1,22k,
R2,0402,1,1.1k,
"R8, R9",0402,2,5.1k,
SW2,SW_SPST_B3U-1100P,1,B3U-1100P,
"TP1, TP2, TP3, TP4",TestPoint_THTPad_D1.0mm_Drill0.5mm,4,TestPoint,
U1,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32H562RITx,
U3,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,
U5,WSON-16_3.3x1.35_P0.4mm,1,TPD8F003,
U6,SOT-583-8,1,TPS2116DRL,
Y1,ECS-.327-6-16-TR3,1,ECS-.327-6-16-TR3,
Y2,ECS801233JGNTR,1,ECS-80-12-33-JGN-TR,
