Designator,Mid X,Mid Y,Rotation,Layer
BT1,75.0,-95.5,90.0,top
C1,66.5,-128.5,0.0,bottom
C10,70.51,-121.95,270.0,top
C11,73.18,-117.0,0.0,bottom
C12,77.25,-120.19,180.0,top
C13,77.25,-119.25,180.0,top
C14,82.75,-108.75,180.0,top
C15,82.75,-107.72,180.0,top
C16,70.25,-116.27,90.0,bottom
C17,71.25,-116.25,90.0,bottom
C18,83.25,-114.78,0.0,top
C19,83.25,-115.75,0.0,top
C2,68.27,-124.28,180.0,bottom
C20,81.5,-106.25,90.0,top
C21,82.56,-106.25,90.0,top
C22,72.5,-107.75,180.0,bottom
C23,72.5,-106.75,180.0,bottom
C24,67.75,-116.25,270.0,bottom
C25,68.75,-116.25,270.0,bottom
C26,85.98,-100.2,0.0,top
C27,85.98,-101.29,0.0,top
C28,84.25,-129.25,270.0,top
C29,83.26,-129.25,270.0,top
C3,64.5,-128.5,0.0,bottom
C30,81.75,-129.72,180.0,bottom
C31,81.75,-128.75,180.0,bottom
C32,71.6,-98.8,270.0,top
C33,67.75,-113.98,90.0,bottom
C34,71.55,-121.95,270.0,top
C35,66.94,-121.6,90.0,bottom
C36,66.0,-121.6,90.0,bottom
C4,64.5,-129.5,0.0,bottom
C5,68.27,-123.25,180.0,bottom
C6,71.25,-123.25,0.0,bottom
C7,68.27,-125.31,180.0,bottom
C8,67.0,-119.25,180.0,bottom
C9,67.0,-118.25,180.0,bottom
D2,77.0,-121.875,90.0,top
D3,81.985,-123.0,180.0,top
D4,82.0,-122.0,180.0,top
D5,73.25,-127.535,270.0,bottom
D7,67.25,-104.235,270.0,top
FB1,74.0,-123.5,180.0,bottom
IC1,64.75,-129.1,0.0,top
IC2,68.5,-126.25,0.0,top
IC3,66.512,-120.25,0.0,top
IC4,66.5,-116.9,0.0,top
IC5,67.25,-98.0,270.0,top
J1,81.73,-100.73,0.0,top
J2,84.5,-115.5,270.0,bottom
J30,59.75,-119.778,180.0,bottom
J31,85.5,-127.0,180.0,bottom
J32,59.75,-104.0,180.0,bottom
J33,90.25,-104.028,180.0,bottom
J34,59.75,-119.75,270.0,top
J35,75.0,-128.0,0.0,top
J36,59.75,-111.875,270.0,top
J37,59.75,-104.0,270.0,top
J38,90.25,-119.75,90.0,top
J39,90.25,-111.875,90.0,top
J40,90.25,-104.0,90.0,top
R1,72.75,-119.75,90.0,top
R10,85.25,-129.25,90.0,top
R11,81.25,-129.25,90.0,top
R12,82.26,-129.25,270.0,top
R13,79.0,-120.0,90.0,top
R14,80.17,-120.0,90.0,top
R15,75.26,-103.5,180.0,top
R16,77.75,-98.75,0.0,top
R17,77.75,-99.75,0.0,top
R18,63.75,-110.25,180.0,bottom
R19,63.75,-111.25,180.0,bottom
R2,67.94,-121.6,90.0,bottom
R20,70.0,-102.4,270.0,bottom
R21,69.0,-102.4,270.0,bottom
R22,66.75,-114.0,90.0,bottom
R23,66.25,-104.235,90.0,top
R7,74.75,-110.0,0.0,bottom
R8,74.5,-127.5,270.0,bottom
R9,75.5,-127.5,270.0,bottom
SW2,65.83,-113.0,0.0,top
U1,65.5,-125.25,0.0,top
U2,75.0,-112.0,0.0,top
U3,84.75,-126.0,0.0,top
U5,73.465,-114.48,0.0,bottom
U6,74.99,-101.5,180.0,top
Y1,71.05,-120.2,0.0,top
Y2,72.65,-120.1,180.0,bottom
