Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Battery,
"C1, C2, C3, C4, C5",0402,5,0.1uF,
D1,D_SOD-123,1,MMSZ4679,
J2,PinHeader_1x04_P2.54mm_Vertical,1,I2C 1,
J3,PinHeader_1x04_P2.54mm_Vertical,1,I2C 2,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,SERVO_1,
J5,PinHeader_1x03_P2.54mm_Horizontal,1,SERVO_3,
J6,PinHeader_1x03_P2.54mm_Horizontal,1,SERVO_2,
J7,PinHeader_1x03_P2.54mm_Horizontal,1,SERVO_4,
J8,PinHeader_1x04_P2.54mm_Vertical,1,UART 1,
J9,PinHeader_1x04_P2.54mm_Vertical,1,UART 2,
R1,0402,1,3.3k,
"R2, R3, R4, R5, R6, R7",0402,6,4.7k,
