Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.8,-73.5,90.0,bottom
C1,102.0,-62.5,180.0,top
C2,92.92,-52.491349,0.0,top
C3,92.94,-61.991349,0.0,top
C4,92.94,-80.991349,0.0,top
C5,92.92,-90.491349,0.0,top
D1,61.5,-72.5,0.0,top
J2,90.689998,-55.115026,270.0,top
J3,90.689998,-64.615026,270.0,top
J4,88.4012,-41.875,90.0,top
J5,105.4012,-41.875,90.0,top
J6,105.3712,-105.625,270.0,top
J7,88.3712,-105.625,270.0,top
J8,90.689998,-83.615026,270.0,top
J9,90.689998,-93.225026,270.0,top
R1,69.0,-93.0,270.0,top
R2,79.5,-64.5,0.0,top
R3,79.5,-63.5,0.0,top
R4,68.5,-84.5,180.0,top
R5,68.5,-83.5,180.0,top
R6,79.5,-68.5,0.0,top
R7,79.5,-69.5,0.0,top
