Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,25V,
C1,CP_EIA-7343-30_AVX-N,1,1000uF,
"C10, C12, C13, C14, C15, C16, C21, C23, C24, C25, C26, C27, C3, C32, C34, C35, C36, C37, C38, C4, C43, C45, C46, C5",0402,24,1uF,
"C11, C22, C33, C44",CP_Elec_10x10.5,4,470uF,
"C17, C28, C39, C6",0603,4,10uF,
"C18, C29, C40, C7",0402,4,470nF,
"C19, C30, C41, C8",CP_Elec_6.3x7.7,4,47uF,
C2,0603,1,1000uF,
"C20, C31, C42, C9",0603,4,0.1uF,
C47,CP_EIA-7343-43_Kemet-X,1,100uF,
D1,D_SMA,1,SS33,
D2,0603,1,LED,
J1,PinHeader_2x14_P2.54mm_Vertical,1,Conn_02x14_Odd_Even,
"J2, J3, J4, J5",Edge_Solderpoint,4,MOTOR,
L1,L_12x12mm_H6mm,1,SMDRI127-151MT,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TDSON-8-1,24,CSD18509Q5B,
"R1, R11, R12, R2, R5, R6, R7, R8",0603,8,0,
"R10, R14, R15, R16, R18, R19, R20, R22, R23, R24, R26, R27, R28, R29, R3, R30, R31, R32, R4, R9",0402,20,4.7k,
"R13, R17, R21, R25",2512,4,0.01,
U1,TO-263-5_TabPin3,1,LM2576S-3.3,
"U2, U3, U4, U5",WQFN36_REE_TEX,4,MCF8329A1IREER,
U6,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
