Designator,Mid X,Mid Y,Rotation,Layer
BT1,123.825,-83.5,270.0,top
C1,133.0,-99.0,90.0,top
C10,75.379515,-96.05,180.0,top
C11,64.236415,-95.9,0.0,top
C12,83.609515,-97.05,0.0,top
C13,77.879515,-93.55,90.0,top
C14,73.543735,-61.85,270.0,top
C15,70.843735,-60.35,0.0,top
C16,67.543735,-60.35,0.0,top
C17,75.043735,-61.85,270.0,top
C18,75.043735,-64.35,270.0,top
C19,76.543735,-71.85,90.0,top
C2,127.5,-83.5,90.0,bottom
C20,77.043735,-66.35,180.0,top
C21,74.543735,-66.35,0.0,top
C22,85.686835,-66.5,180.0,top
C23,66.313735,-65.35,180.0,top
C24,72.043735,-68.85,270.0,top
C25,108.456265,-100.55,90.0,top
C26,111.156265,-102.05,180.0,top
C27,114.456265,-102.05,180.0,top
C28,106.956265,-100.55,90.0,top
C29,106.956265,-98.05,90.0,top
C3,76.379515,-100.55,90.0,top
C30,105.456265,-90.55,270.0,top
C31,104.956265,-96.05,0.0,top
C32,107.456265,-96.05,180.0,top
C33,96.313165,-95.9,0.0,top
C34,115.686265,-97.05,0.0,top
C35,109.956265,-93.55,90.0,top
C36,105.620485,-61.85,270.0,top
C37,102.920485,-60.35,0.0,top
C38,99.620485,-60.35,0.0,top
C39,107.120485,-61.85,270.0,top
C4,79.079515,-102.05,180.0,top
C40,107.120485,-64.35,270.0,top
C41,108.620485,-71.85,90.0,top
C42,109.120485,-66.35,180.0,top
C43,106.620485,-66.35,0.0,top
C44,117.763585,-66.5,180.0,top
C45,98.390485,-65.35,180.0,top
C46,104.120485,-68.85,270.0,top
C47,128.0,-99.0,90.0,top
C5,82.379515,-102.05,180.0,top
C6,74.879515,-100.55,90.0,top
C7,74.879515,-98.05,90.0,top
C8,73.379515,-90.55,270.0,top
C9,72.879515,-96.05,0.0,top
D1,123.5,-95.5,90.0,bottom
D2,114.5,-78.0,180.0,top
J1,52.23,-81.21,0.0,top
J2,80.379515,-119.05,180.0,top
J3,69.543735,-43.35,0.0,top
J4,112.456265,-119.05,180.0,top
J5,101.620485,-43.35,0.0,top
L1,131.55,-67.95,270.0,top
Q1,72.879515,-108.45,0.0,top
Q10,69.543735,-53.95,0.0,bottom
Q11,62.043735,-53.95,180.0,top
Q12,62.043735,-53.95,0.0,bottom
Q13,104.956265,-108.45,0.0,top
Q14,104.956265,-108.45,180.0,bottom
Q15,112.456265,-108.45,0.0,top
Q16,112.456265,-108.45,180.0,bottom
Q17,119.956265,-108.45,0.0,top
Q18,119.956265,-108.45,180.0,bottom
Q19,109.120485,-53.95,180.0,top
Q2,72.879515,-108.45,180.0,bottom
Q20,109.120485,-53.95,0.0,bottom
Q21,101.620485,-53.95,180.0,top
Q22,101.620485,-53.95,0.0,bottom
Q23,94.120485,-53.95,180.0,top
Q24,94.120485,-53.95,0.0,bottom
Q3,80.379515,-108.45,0.0,top
Q4,80.379515,-108.45,180.0,bottom
Q5,87.879515,-108.45,0.0,top
Q6,87.879515,-108.45,180.0,bottom
Q7,77.043735,-53.95,180.0,top
Q8,77.043735,-53.95,0.0,bottom
Q9,69.543735,-53.95,180.0,top
R1,67.543735,-69.85,90.0,bottom
R10,91.5,-81.0,180.0,top
R11,82.337485,-92.5,90.0,bottom
R12,101.120485,-69.85,270.0,bottom
R13,86.379515,-100.05,90.0,bottom
R14,78.379515,-91.05,0.0,top
R15,84.879515,-95.55,180.0,top
R16,80.379515,-91.05,0.0,top
R17,63.543735,-62.35,270.0,bottom
R18,71.543735,-71.35,180.0,top
R19,65.043735,-66.85,0.0,top
R2,112.870485,-92.5,270.0,bottom
R20,69.543735,-71.35,180.0,top
R21,118.456265,-100.05,90.0,bottom
R22,110.456265,-91.05,0.0,top
R23,116.956265,-95.55,180.0,top
R24,112.456265,-91.05,0.0,top
R25,95.620485,-62.35,270.0,bottom
R26,103.620485,-71.35,180.0,top
R27,97.120485,-66.85,0.0,top
R28,101.620485,-71.35,180.0,top
R29,88.5,-86.0,0.0,top
R3,76.5,-80.5,270.0,top
R30,89.5,-81.0,90.0,top
R31,92.0,-75.5,90.0,top
R32,89.5,-75.5,90.0,top
R4,79.0,-76.0,0.0,top
R5,69.043735,-69.85,270.0,bottom
R6,114.370485,-92.5,90.0,bottom
R7,80.793735,-92.5,270.0,bottom
R8,99.620485,-69.85,90.0,bottom
R9,86.0,-89.0,180.0,top
U1,131.225,-103.075,270.0,bottom
U2,79.879515,-98.05,0.0,top
U3,70.043735,-64.35,180.0,top
U4,111.956265,-98.05,0.0,top
U5,102.120485,-64.35,180.0,top
U6,82.125,-81.3875,180.0,bottom
